Name	Sex	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Total
John	M	0.014031485284052	0.0131554219131742	0.01544315129812	0.0157758417706616	0.0135400742520201	0.0120285423037717	0.00947867298578199	0.0139192682441837	0.0116981867810489	0.0150462962962963	0.0117272907970582	0.0136666067254091	0.0114981980435902	0.0128248396895039	0.0099535500995355	0.0124382347929801	0.0124453414059872	0.00956768249468462	0.0114107883817427	0.0107581106068247	0.00946155169447789	0.0105426892499136	0.00967957276368491	0.0108695652173913	0.00866336633663366	0.0106531388712746	0.0103401021552261	0.00908979240879499	0.0108655841777561	0.0107035343962538	0.0105600379686758	0.0100899586676392	0.0107061503416856	0.0094876660341556	0.0113625037376657	0.0106142335131373	0.00898969072164948	0.0100077579519007	0.0105154790793441	0.00923473891491818	0.00885123601188595	0.00794677508778414	0.00889224689061955	0.0100261794686125	0.00741966210457713	0.00847384721266345	0.00892721470901079	0.00857407693496061	0.00824035586669584	0.00931838915678353	0.00780361430557311	0.00907579131317117	0.00809074757414241	0.00857605177993528	0.00857321296769432	0.00964505100480863	0.00761793955511233	0.00788990825688073	0.00797241973712562	9281
Jack	M	0.00598904859685147	0.00469836496899079	0.0044762757385855	0.00400282552389922	0.00611487224284778	0.00468909276248726	0.00370904595095817	0.00377808709484987	0.00467927471241958	0.00540123456790123	0.00596302921884317	0.00539471318108254	0.0056632915737086	0.00573742828214647	0.00763105507631055	0.00477082978360879	0.00571812983518332	0.00726435152374203	0.0063969571230982	0.00621953269457052	0.00688112850507483	0.0050120981679917	0.0071762349799733	0.00582860743541273	0.00605060506050605	0.00646797717184528	0.00772393173040987	0.00687876182287188	0.00769136857526554	0.00780466049726837	0.00723777883246322	0.0075370775589594	0.00979498861047836	0.00864431794223065	0.00897039768763082	0.00826518183400035	0.00775257731958763	0.00791311093871218	0.00794176042356056	0.00638283425001698	0.00853512044003288	0.00714593728824	0.00662559572242241	0.00596000668411965	0.00706873214017145	0.00701135581555403	0.00634402066555235	0.00606364900355322	0.00579741850798512	0.00638602893262088	0.00609756097560976	0.00631359395698864	0.00615006150061501	0.00606796116504854	0.00559246011468801	0.00578147149567779	0.00531870688938752	0.00452599388379205	0.00423759247288659	5757
David	M	0.00598904859685147	0.00526216876526969	0.00402864816472695	0.00470920649870497	0.00502293077091068	0.00468909276248726	0.00391510405934473	0.00457347385166037	0.00487424449210372	0.00597993827160494	0.00377658517193401	0.0066534795900018	0.00600652136605457	0.00624367195410057	0.00646980756469808	0.00545237689555291	0.00538176925664312	0.0054925584691708	0.00466804979253112	0.00554715078164397	0.00653707207982109	0.00812305565157276	0.00634178905206943	0.00582860743541273	0.00632563256325633	0.00672162333544705	0.007599352186371	0.00651025672521803	0.00830179465266756	0.00657821384769763	0.00510204081632653	0.00474106491611962	0.00603644646924829	0.00737929580434324	0.00558158078341473	0.00539411867061075	0.00651546391752577	0.00550814584949573	0.00647106404882712	0.00651863923405989	0.00575330340772586	0.00652990821166759	0.00616064163663838	0.00601570768116749	0.00551461372637489	0.00615106675843083	0.00554626956389606	0.0066043565580102	0.00630788303070079	0.00654893783396325	0.00657146467837735	0.005637137461597	0.00606806068060681	0.006957928802589	0.00633055129733719	0.00664313311282208	0.00576193246350314	0.00571865443425076	0.00660777131365367	5331
Paul	M	0.0082135523613963	0.00996053373426048	0.00760966875559534	0.00847657169766894	0.00873553177549683	0.00856269113149847	0.00597568514321039	0.00596540067607874	0.00487424449210372	0.00925925925925926	0.00834824090638044	0.00989030749865132	0.00720782563926549	0.00742490718866014	0.0092899800928998	0.00732663145339922	0.0070635721493441	0.00956768249468462	0.00985477178423236	0.00621953269457052	0.00722518493032857	0.00639474593847217	0.0065086782376502	0.00661625708884688	0.00701320132013201	0.0062143310082435	0.00647813629002118	0.00479056626950006	0.00622634598950067	0.00635522354777567	0.00616990982439487	0.00632141988815949	0.00649202733485194	0.00632511068943706	0.00607993621050533	0.00713415695145293	0.00610309278350515	0.00628394103956555	0.00477976321788367	0.00482107693352346	0.00550041095024341	0.00616029076572414	0.00720678832965245	0.00612710967526319	0.00541434802225899	0.00559187887130076	0.00501443549612521	0.00567742932179824	0.00466710420768614	0.00540857552456666	0.00489700492859851	0.00510160940274529	0.00522071887385541	0.00539374325782093	0.0047408164424005	0.00447508130194291	0.00412753815895177	0.00440366972477064	0.00445306327659269	5307
Tom	M	0.00804243668720055	0.007141514752866	0.00581915846016115	0.00423828584883447	0.00458615418213584	0.00530071355759429	0.00741809190191634	0.00815271425730762	0.00701891206862936	0.00578703703703704	0.00536672629695885	0.00593418449919079	0.00463360219667067	0.00556868039149511	0.0053085600530856	0.00630431078548305	0.00639085099226371	0.00673281360737066	0.00535961272475795	0.00655572365103379	0.00584895922931361	0.00414794331144141	0.005173564753004	0.00472589792060491	0.00591309130913091	0.00494610019023462	0.00423570449732154	0.00552757646480776	0.00549383469661824	0.00445980599843907	0.00676317038443284	0.00510576221735959	0.00558086560364465	0.00548176259751212	0.00637894946675969	0.00513311292848443	0.00519587628865979	0.00364623739332816	0.00551511140525039	0.00577171182182386	0.00562685717898464	0.00523624715086552	0.00435894455422527	0.00445607976382777	0.00506341805785331	0.00529077770130764	0.00452058957605227	0.0043642824038313	0.00492233646904397	0.00505017594161345	0.00514975357007456	0.00422785309619775	0.00502938362716961	0.00498921251348436	0.004570487707943	0.00441949022986908	0.00473697332336076	0.00376146788990826	0.00445306327659269	4949
Frank	M	0.00958247775496235	0.00864499154294306	0.00738585496866607	0.00470920649870497	0.00611487224284778	0.00693170234454638	0.00494539460127756	0.00616424736528137	0.00467927471241958	0.00636574074074074	0.00496919101570264	0.0062938320445963	0.00720782563926549	0.00674991562605467	0.00696748506967485	0.00647469756346907	0.00554994954591322	0.00478384124734231	0.00605117565698479	0.00571524625987561	0.005332874591433	0.0050120981679917	0.00667556742323097	0.00551354757403907	0.00618811881188119	0.00684844641724794	0.00672729537809892	0.00368505097653851	0.0092784763765108	0.00613223324785372	0.00640721404841006	0.00741551179187941	0.00523917995444191	0.00600885515496521	0.00518289644174225	0.00643814163911606	0.00544329896907216	0.00543056633048875	0.00536804176777704	0.00631493175799552	0.00391983309097806	0.00511304133555104	0.0048238986400093	0.00545869771068902	0.00456208953727378	0.00455953200275293	0.00448260142835435	0.0043256604356558	0.00503172172391162	0.00381206829141144	0.00445469480601542	0.00448152428196962	0.0045373787071204	0.00409924487594391	0.00448532334071425	0.00403035272535231	0.00371201418321837	0.00443425076452599	0.0033757092580622	4625
Peter	M	0.00616016427104723	0.00638977635782748	0.00828111011638317	0.00565104779844596	0.00808036689233457	0.00652395514780836	0.00618174325159695	0.00835156094651024	0.00565412361084032	0.00790895061728395	0.00954084675014908	0.00647365581729905	0.00634975115840055	0.00556868039149511	0.00746516257465163	0.00460044300562276	0.0070635721493441	0.00531537916371368	0.00605117565698479	0.00689191460749706	0.0070531567177017	0.00535776011061182	0.00751001335113485	0.00551354757403907	0.00563806380638064	0.00545339251743817	0.00548149993771023	0.00614175162756418	0.00500549383469662	0.00512877689820493	0.00522069292833412	0.0061998541210795	0.00592255125284738	0.00537634408602151	0.00538223861257849	0.00696015312336871	0.00527835051546392	0.00558572536850272	0.00463269358041032	0.00502478440958783	0.00480495669216666	0.00560586459680897	0.00383587120771824	0.00423327577563638	0.00491301950167945	0.00400034411562285	0.00577419845008357	0.00386219681754982	0.00401079267848027	0.00452886745731787	0.00417035258435486	0.00448152428196962	0.0039360393603936	0.00453074433656958	0.00408788962698007	0.00408594379742613	0.00407213496218732	0.00388379204892966	0.00538677009265245	4559
Michael	M	0.00256673511293634	0.00300695358015411	0.00246195165622202	0.00188368259948199	0.00305743612142389	0.00203873598369011	0.00267875540902534	0.00258500695963412	0.00175472801715734	0.00270061728395062	0.00556549393758696	0.00377629922675778	0.00308906813111378	0.00236247046911914	0.0039814200398142	0.00340773555972057	0.00319542549613185	0.00407512402551382	0.00345781466113416	0.00453857791225416	0.00258042318940306	0.00432077428275147	0.00417222963951936	0.00456836798991808	0.00495049504950495	0.00570703868103995	0.00485860221751588	0.00479056626950006	0.00634843120498108	0.00602073809789274	0.00854295206454675	0.00486263068319961	0.00569476082004556	0.00664136622390892	0.00578092295425097	0.00722115886549504	0.00494845360824742	0.0056633048875097	0.00661813368630046	0.00583961431384532	0.00518429537839034	0.00474342388960759	0.00587004533302336	0.00490168774021055	0.00566501228254875	0.00460254645560909	0.0052043762346148	0.00486636799011278	0.00587034201123022	0.00615795647074156	0.00549728295210413	0.00617266552044872	0.00538472051387181	0.00558252427184466	0.00573440072673593	0.00525335631097646	0.00542951328291642	0.00501529051987768	0.00409394527041586	4514
Mary	F	0.0054757015742642	0.00620184175906784	0.0053715308863026	0.00612196844831646	0.00567809565407294	0.00428134556574924	0.00515145270966413	0.00437462716245775	0.00409436537336713	0.00617283950617284	0.00437288809381833	0.00719295090811005	0.00514844688518963	0.0045561930475869	0.00564034505640345	0.00425966944965071	0.00554994954591322	0.00460666194188519	0.00518672199170124	0.00487476886871743	0.00602098744194048	0.00622191496716212	0.00567423230974633	0.00598613736609956	0.0044004400440044	0.00596068484464172	0.00373738632116606	0.00565041149735905	0.00378464167989257	0.00434831084847809	0.003796867584243	0.00364697301239971	0.00546697038724374	0.00495467004005903	0.00498355427090601	0.00530711675656864	0.00395876288659794	0.00279286268425136	0.0052209721303037	0.0038025395532016	0.00423594866283113	0.00394258609006345	0.00430082529350227	0.00323065782877513	0.00386022960846243	0.00382828630419821	0.00402674365597933	0.00390081878572532	0.00364617516225479	0.00345366870845823	0.00410716542398585	0.00380506778657798	0.0035260352603526	0.00339805825242718	0.00417305399420882	0.00350223754065097	0.00387822377351173	0.00339449541284404	0.00380665086547439	4508
Joe	M	0.0102669404517454	0.00789325314790453	0.00760966875559534	0.00659288909818696	0.0104826381305962	0.00815494393476045	0.00453327838450443	0.00695963412209187	0.00682394228894521	0.00501543209876543	0.00596302921884317	0.00647365581729905	0.00514844688518963	0.00624367195410057	0.00746516257465163	0.00749701823138524	0.00504540867810293	0.0054925584691708	0.00397648686030429	0.00487476886871743	0.00550490280405987	0.00604908399585206	0.00500667556742323	0.00299306868304978	0.00426292629262926	0.00456563094483196	0.00436028404136041	0.00565041149735905	0.00390672689537297	0.00501728174824395	0.00415282392026578	0.00547045951859956	0.00478359908883827	0.00506008855154965	0.00408651450214293	0.00513311292848443	0.00494845360824742	0.00411171450737005	0.00419148466799029	0.0042778569973518	0.00360371751912499	0.00486662970492207	0.00366151342554923	0.004010471787445	0.00461222238933173	0.00417240192704749	0.00376082662209391	0.00405530665842731	0.00455771895281849	0.00381206829141144	0.00363326172121825	0.00374869641196201	0.003826704933716	0.0035059331175836	0.00334979844433089	0.00308530450009728	0.00304717582204493	0.00336391437308868	0.00280112044817927	4393
